Run: 10, exploration: 0.00, score: 474.6363408499443, time: 30.314653635025024
Run: 55, exploration: 0.00, score: 425.97375876173936, time: 56.143141746520996
Run: 88, exploration: 0.00, score: 369.937932967157, time: 77.71417593955994
Run: 130, exploration: 0.00, score: 410.3877353224888, time: 141.77780842781067
Run: 160, exploration: 0.00, score: 385.2665776989814, time: 160.16184091567993
Run: 195, exploration: 0.00, score: 429.5896350380705, time: 203.42142415046692
Run: 228, exploration: 0.00, score: 421.0973788042631, time: 233.29511380195618
Run: 260, exploration: 0.00, score: 389.2046477908154, time: 261.46710205078125
Run: 291, exploration: 0.00, score: 381.75366561688014, time: 295.369726896286
Run: 331, exploration: 0.00, score: 474.9624349045601, time: 367.96703839302063
Run: 363, exploration: 0.00, score: 425.4579234506863, time: 390.7800896167755
Run: 394, exploration: 0.00, score: 541.5685982123372, time: 430.99443006515503
Run: 426, exploration: 0.00, score: 526.2146396940938, time: 518.808055639267
Run: 458, exploration: 0.00, score: 509.6680422259603, time: 559.1432566642761
Run: 493, exploration: 0.00, score: 471.10127400683297, time: 599.214905500412
Run: 513, exploration: 0.00, score: 420.6376609047691, time: 643.1480498313904
Run: 544, exploration: 0.00, score: 412.54861609210786, time: 710.2069931030273
Run: 568, exploration: 0.00, score: 395.2797998076067, time: 736.6589651107788
Run: 623, exploration: 0.00, score: 341.3562121238731, time: 781.0700023174286
Run: 664, exploration: 0.00, score: 302.83105224172033, time: 806.3480727672577
Run: 681, exploration: 0.00, score: 291.72752124157415, time: 821.4624037742615
Run: 16, exploration: 0.00, score: 302.34837522459554, time: 9.684516668319702
Run: 63, exploration: 0.00, score: 292.63485225099663, time: 10.60286545753479
Run: 87, exploration: 0.00, score: 288.3796837875664, time: 10.99236273765564
Run: 171, exploration: 0.00, score: 302.9433463339001, time: 19.57341241836548
Run: 185, exploration: 0.00, score: 306.24024569806164, time: 20.53583598136902
Run: 190, exploration: 0.00, score: 313.5469440192918, time: 20.944337606430054
Run: 13, exploration: 0.00, score: 258.7113940599733, time: 10.265427827835083
Run: 50, exploration: 0.00, score: 268.66071078212127, time: 11.185349464416504
Run: 71, exploration: 0.00, score: 275.6709223186387, time: 11.506482601165771
Run: 117, exploration: 0.00, score: 274.33651840149, time: 18.800636768341064
Run: 165, exploration: 0.00, score: 268.7661124868895, time: 19.782544136047363
Run: 181, exploration: 0.00, score: 272.4030385679097, time: 20.304611921310425
Run: 200, exploration: 0.00, score: 271.2444801727356, time: 28.50204062461853
Run: 219, exploration: 0.00, score: 269.4028044865688, time: 29.655422687530518
Run: 242, exploration: 0.00, score: 277.07672941368384, time: 30.73440384864807
Run: 310, exploration: 0.00, score: 259.5748889679122, time: 37.39532399177551
Run: 321, exploration: 0.00, score: 259.32362764780004, time: 38.3387246131897
Run: 330, exploration: 0.00, score: 256.97831670885773, time: 38.81359910964966
Run: 440, exploration: 0.00, score: 262.7002014002675, time: 49.33756875991821
Run: 449, exploration: 0.00, score: 263.10877141604254, time: 50.187801361083984
Run: 459, exploration: 0.00, score: 267.5155138498931, time: 50.56844210624695
Run: 553, exploration: 0.00, score: 267.226357213401, time: 60.6703987121582
Run: 555, exploration: 0.00, score: 267.9061979820897, time: 61.71574139595032
Run: 556, exploration: 0.00, score: 269.1393901042602, time: 62.14498805999756
Run: 649, exploration: 0.00, score: 301.6025638336474, time: 72.3682951927185
Run: 662, exploration: 0.00, score: 293.3027632665409, time: 73.98193526268005
Run: 666, exploration: 0.00, score: 289.3994810309409, time: 74.44244503974915
Run: 771, exploration: 0.00, score: 319.9752572089298, time: 86.45402240753174
Run: 792, exploration: 0.00, score: 325.6431979359651, time: 87.3721251487732
Run: 795, exploration: 0.00, score: 327.29723395292916, time: 87.85158586502075
Run: 906, exploration: 0.00, score: 304.386886073273, time: 100.53020095825195
Run: 919, exploration: 0.00, score: 299.5085082620316, time: 101.34981799125671
Run: 923, exploration: 0.00, score: 297.7252372873008, time: 101.79775977134705
Run: 1011, exploration: 0.00, score: 278.97300045020353, time: 111.61086797714233
Run: 1025, exploration: 0.00, score: 274.2004093496065, time: 112.51857590675354
Run: 1028, exploration: 0.00, score: 272.40783268358774, time: 112.9192533493042
Run: 1104, exploration: 0.00, score: 285.618960756152, time: 121.6854453086853
Run: 1112, exploration: 0.00, score: 288.1762062191798, time: 122.84343576431274
Run: 1117, exploration: 0.00, score: 286.87664675381666, time: 123.28622770309448
Run: 1202, exploration: 0.00, score: 320.41973705301916, time: 133.64363265037537
Run: 1211, exploration: 0.00, score: 329.72148277491834, time: 134.73818969726562
Run: 1218, exploration: 0.00, score: 340.99100321043795, time: 135.28582286834717
Run: 1276, exploration: 0.00, score: 359.1188668399829, time: 144.39595890045166
Run: 1286, exploration: 0.00, score: 354.8262652045813, time: 145.39488339424133
Run: 1288, exploration: 0.00, score: 350.8954200745537, time: 145.8756866455078
Run: 1376, exploration: 0.00, score: 350.64217823311856, time: 156.5024859905243
Run: 1380, exploration: 0.00, score: 347.79700779882967, time: 157.76351976394653
Run: 1387, exploration: 0.00, score: 343.6766719383422, time: 158.75330328941345
Run: 1465, exploration: 0.00, score: 308.06784971507966, time: 166.8820652961731
Run: 1469, exploration: 0.00, score: 305.19849389208605, time: 167.79737854003906
Run: 1471, exploration: 0.00, score: 308.6325831649548, time: 168.13538670539856
Run: 1640, exploration: 0.00, score: 288.47991202860845, time: 185.79848408699036
Run: 1651, exploration: 0.00, score: 281.79337852650207, time: 186.92858028411865
Run: 1662, exploration: 0.00, score: 278.1704093497318, time: 187.35948824882507
Run: 1806, exploration: 0.00, score: 254.6431170168768, time: 200.54245615005493
Run: 1812, exploration: 0.00, score: 253.45988907463803, time: 201.45937395095825
Run: 1817, exploration: 0.00, score: 252.5916042417454, time: 201.94454765319824
Run: 1900, exploration: 0.00, score: 249.52922015035355, time: 209.47629928588867
Run: 1903, exploration: 0.00, score: 251.3129042846777, time: 210.88889622688293
Run: 1906, exploration: 0.00, score: 250.5923975871976, time: 211.2827649116516
Run: 1999, exploration: 0.00, score: 269.895146364316, time: 221.07450366020203
Run: 2013, exploration: 0.00, score: 277.0969693402645, time: 221.9798641204834
