Run: 110, exploration: 0, score: 130, time: 30.99594736099243
Run: 111, exploration: 0, score: 515, time: 31.259256601333618
Run: 112, exploration: 0, score: 359, time: 31.501107692718506
Run: 113, exploration: 0, score: 1014, time: 31.78158664703369
Run: 114, exploration: 0, score: 409, time: 32.04474210739136
Run: 115, exploration: 0, score: 149, time: 32.28836369514465
Run: 116, exploration: 0, score: 409, time: 32.53580975532532
Run: 117, exploration: 0, score: 221, time: 32.779842138290405
Run: 118, exploration: 0, score: 731, time: 33.12883758544922
Run: 119, exploration: 0, score: 158, time: 33.37337327003479
Run: 120, exploration: 0, score: 211, time: 33.62778306007385
Run: 121, exploration: 0, score: 338, time: 33.87398076057434
Run: 122, exploration: 0, score: 158, time: 34.11867809295654
Run: 123, exploration: 0, score: 160, time: 34.35575604438782
Run: 124, exploration: 0, score: 224, time: 34.6029052734375
Run: 125, exploration: 0, score: 117, time: 34.840009689331055
Run: 126, exploration: 0, score: 480, time: 35.1024215221405
Run: 127, exploration: 0, score: 203, time: 35.34972834587097
Run: 128, exploration: 0, score: 187, time: 35.61040282249451
Run: 129, exploration: 0, score: 124, time: 35.854037284851074
Run: 130, exploration: 0, score: 337, time: 36.169318437576294
Run: 131, exploration: 0, score: 226, time: 36.42437481880188
Run: 132, exploration: 0, score: 286, time: 36.682049036026
Run: 133, exploration: 0, score: 413, time: 36.934510231018066
Run: 134, exploration: 0, score: 543, time: 37.20351696014404
Run: 135, exploration: 0, score: 295, time: 37.460588693618774
Run: 136, exploration: 0, score: 399, time: 37.72615933418274
Run: 137, exploration: 0, score: 557, time: 38.00591206550598
Run: 138, exploration: 0, score: 246, time: 38.27334022521973
Run: 139, exploration: 0, score: 155, time: 38.54055643081665
Run: 140, exploration: 0, score: 377, time: 38.8557767868042
Run: 141, exploration: 0, score: 196, time: 39.10155963897705
Run: 142, exploration: 0, score: 129, time: 39.353567123413086
Run: 143, exploration: 0, score: 139, time: 39.590139865875244
Run: 144, exploration: 0, score: 350, time: 39.85461497306824
Run: 145, exploration: 0, score: 319, time: 40.114388942718506
Run: 146, exploration: 0, score: 543, time: 40.40055823326111
Run: 147, exploration: 0, score: 473, time: 40.67132258415222
Run: 148, exploration: 0, score: 604, time: 40.943068981170654
Run: 149, exploration: 0, score: 201, time: 41.208067655563354
Run: 150, exploration: 0, score: 457, time: 41.463382720947266
Run: 151, exploration: 0, score: 190, time: 41.717687129974365
Run: 152, exploration: 0, score: 204, time: 42.02160596847534
Run: 153, exploration: 0, score: 472, time: 42.311689376831055
Run: 154, exploration: 0, score: 257, time: 42.598196506500244
Run: 155, exploration: 0, score: 239, time: 42.86673378944397
Run: 156, exploration: 0, score: 426, time: 43.14135956764221
Run: 157, exploration: 0, score: 574, time: 43.41742658615112
Run: 158, exploration: 0, score: 261, time: 43.69383525848389
Run: 159, exploration: 0, score: 199, time: 43.968530893325806
Run: 160, exploration: 0, score: 175, time: 44.22531986236572
Run: 161, exploration: 0, score: 479, time: 44.50741624832153
Run: 162, exploration: 0, score: 290, time: 44.84845805168152
Run: 163, exploration: 0, score: 260, time: 45.13080286979675
Run: 164, exploration: 0, score: 241, time: 45.38828372955322
Run: 165, exploration: 0, score: 443, time: 45.66031527519226
Run: 166, exploration: 0, score: 139, time: 45.90952730178833
Run: 167, exploration: 0, score: 357, time: 46.16345167160034
Run: 168, exploration: 0, score: 265, time: 46.43941807746887
Run: 169, exploration: 0, score: 465, time: 46.71008491516113
Run: 170, exploration: 0, score: 341, time: 46.991268157958984
Run: 171, exploration: 0, score: 641, time: 47.27145957946777
Run: 172, exploration: 0, score: 356, time: 47.52623391151428
Run: 173, exploration: 0, score: 260, time: 47.85414910316467
Run: 174, exploration: 0, score: 96, time: 48.12012577056885
Run: 175, exploration: 0, score: 661, time: 48.421608686447144
Run: 176, exploration: 0, score: 220, time: 48.67941188812256
Run: 177, exploration: 0, score: 628, time: 49.01858925819397
Run: 178, exploration: 0, score: 238, time: 49.29137182235718
Run: 179, exploration: 0, score: 545, time: 49.5732262134552
Run: 180, exploration: 0, score: 210, time: 49.82924294471741
Run: 181, exploration: 0, score: 170, time: 50.08790993690491
Run: 182, exploration: 0, score: 437, time: 50.36048913002014
Run: 183, exploration: 0, score: 673, time: 50.66156053543091
Run: 184, exploration: 0, score: 244, time: 50.92009139060974
Run: 185, exploration: 0, score: 295, time: 51.252593755722046
Run: 186, exploration: 0, score: 1199, time: 51.58771777153015
Run: 187, exploration: 0, score: 431, time: 51.86959147453308
Run: 188, exploration: 0, score: 317, time: 52.14052200317383
